player,missed_1st_made_2nd,missed_first,made_1st_made_2nd,made_first
D.J. Mbenga,8,9,5,10
D.J. Strawberry,3,5,1,3
D.J. White,13,21,40,52
DJ Mbenga,2,3,3,6
DaJuan Summers,6,10,12,22
Daequan Cook,8,13,49,54
Dahntay Jones,75,102,257,327
Dale Davis,5,6,5,7
Damian Lillard,81,96,548,607
Damien Inglis,1,1,3,3
Damien Wilkins,59,74,178,224
Damion James,6,7,7,11
Damir Markota,1,2,2,3
Damjan Rudez,3,4,7,8
Damon Jones,6,7,9,10
Damon Stoudamire,10,11,23,27
Dan Dickau,10,10,34,37
Dan Gadzuric,27,64,33,60
Daniel Ewing,6,7,13,15
Daniel Gibson,35,42,125,147
Daniel Green,7,9,31,41
Daniel Orton,8,13,13,21
Danilo Gallinari,122,137,628,703
Danny Fortson,1,1,3,3
Danny Granger,132,156,718,832
Danny Green,12,19,88,103
Dante Cunningham,58,77,87,142
Dante Exum,7,8,4,5
Darius Miles,3,4,8,10
Darius Miller,6,6,7,7
Darius Morris,12,14,13,20
Darius Songaila,12,17,111,119
Darius Washington,2,4,2,2
Darko Milicic,76,135,96,162
Darnell Jackson,9,14,17,27
Darrell Armstrong,10,14,27,32
Darrell Arthur,38,52,124,157
Darren Collison,87,102,465,534
Darrick Martin,1,2,7,9
Darrun Hilliard,4,4,8,13
Darryl Watkins,3,6,3,4
David Andersen,8,14,20,27
David Harrison,14,27,15,24
David Lee,210,256,669,819
David Noel,2,3,14,16
David Stockton,1,1,0,1
David Wesley,3,5,7,7
David West,211,257,873,1037
DeAndre Jordan,336,733,205,472
DeAndre Liggins,4,10,4,8
DeJuan Blair,69,112,104,174
DeMar DeRozan,211,261,970,1154
DeMarcus Cousins,279,383,719,923
DeMarcus Nelson,1,4,2,2
DeMarre Carroll,59,75,135,191
DeQuan Jones,6,9,9,13
DeSagana Diop,25,62,31,54
DeShawn Stevenson,73,93,137,178
Dee Brown,4,6,7,12
Delon Wright,5,7,13,16
Delonte West,43,56,218,247
Dennis Horner,1,1,1,1
Dennis Schroder,29,34,128,163
DerMarr Johnson,2,3,6,8
Derek Anderson,7,8,40,46
Derek Fisher,76,93,385,424
Deron Williams,258,305,1020,1194
Derrick Brown,26,42,49,77
Derrick Caracter,1,2,7,8
Derrick Favors,148,220,295,446
Derrick Rose,133,173,582,681
Derrick Williams,122,160,255,346
Desmond Mason,62,93,106,164
Devean George,13,17,35,47
Devin Booker,18,21,77,86
Devin Brown,38,51,139,170
Devin Ebanks,5,8,19,30
Devin Harris,226,273,773,917
Devyn Marble,3,11,2,6
Dewayne Dedmon,25,31,30,46
Dexter Pittman,2,5,5,8
Diante Garrett,1,2,5,9
Dijon Thompson,1,1,1,1
Dikembe Mutombo,18,25,32,48
Dion Waiters,78,114,177,237
Dionte Christmas,3,4,7,8
Dirk Nowitzki,213,233,1571,1697
Dominic McGuire,20,39,54,71
Dominique Jones,8,14,27,35
Donald Sloan,22,31,65,85
Donatas Motiejunas,47,75,63,99
Donell Taylor,4,5,2,5
Donte Greene,36,48,62,78
Dontell Jefferson,1,1,1,3
Donyell Marshall,13,17,23,34
Dorell Wright,52,65,196,245
Doron Lamb,7,9,11,14
Doug McDermott,6,8,21,26
Draymond Green,99,140,208,278
Drew Gooden,94,118,365,441
Dwayne Jones,11,22,12,15
Dwight Buycks,2,2,5,5
Dwight Howard,853,1589,1134,1887
Dwight Powell,17,22,43,60
Dwyane Wade,472,622,1424,1784
E'Twaun Moore,15,22,44,60
Earl Barron,20,27,39,53
Earl Boykins,29,32,155,168
Earl Clark,25,39,50,70
Earl Watson,76,97,164,225
Ed Davis,90,173,143,227
Eddie House,3,3,61,69
Eddie Jones,8,11,25,27
Eddy Curry,119,196,167,236
Eduardo Najera,27,40,53,79
Ekpe Udoh,46,55,79,105
Elfrid Payton,36,69,56,105
Elijah Millsap,12,18,23,31
Elliot Williams,16,23,26,39
Elton Brand,146,190,355,458
Emeka Okafor,195,354,267,459
Emmanuel Mudiay,20,30,44,64
Enes Kanter,79,104,243,313
Eric Bledsoe,92,111,307,383
Eric Gordon,125,153,491,599
Eric Maynor,23,29,58,75
Eric Moreland,0,1,1,1
Eric Snow,17,29,24,41
Eric Williams,3,4,2,2
Erick Dampier,82,123,106,180
Erick Green,2,2,4,4
Ersan Ilyasova,117,137,279,340
Esteban Batista,0,1,2,2
Etan Thomas,26,37,30,53
Evan Fournier,47,58,141,181
Evan Turner,104,126,284,355
Fabricio Oberto,21,30,34,55
Festus Ezeli,54,91,53,89
Francisco Elson,24,29,58,66
Francisco Garcia,49,58,189,224
Frank Kaminsky,19,21,40,51
Fred Jones,37,41,80,93
Furkan Aldemir,4,7,3,6
Gabe Pruitt,2,2,6,9
Gal Mekel,1,2,3,4
Garret Siler,4,6,2,4
Garrett Temple,44,53,67,90
Gary Forbes,21,25,38,53
Gary Harris,20,21,49,54
Gary Neal,33,39,158,179
Gary Payton,5,7,13,16
George Hill,122,159,452,537
Gerald Green,62,66,222,257
Gerald Henderson,123,152,408,489
Gerald Wallace,266,367,691,886
Giannis Antetokounmpo,84,123,229,317
Gilbert Arenas,81,99,317,390
Glen Davis,127,189,330,458
Glenn Robinson,8,9,12,19
Goran Dragic,155,203,416,538
Gordan Giricek,4,6,40,50
Gordon Hayward,140,168,560,660
Gorgui Dieng,46,64,162,197
Grant Hill,105,133,402,486
Greg Buckner,6,8,23,28
Greg Monroe,176,250,429,595
Greg Oden,38,56,65,88
Greg Smith,20,37,31,53
Greg Stiemsma,19,23,33,46
Greivis Vasquez,36,42,145,172
Guillermo Diaz,1,1,0,1
Gustavo Ayon,16,35,17,24
Hakim Warrick,151,220,451,590
Hamady Ndiaye,1,3,2,3
Hamed Haddadi,18,26,25,35
Harrison Barnes,73,96,190,250
Hasheem Thabeet,19,35,35,60
Hassan Adams,2,5,9,14
Hassan Whiteside,60,103,89,130
Hedo Turkoglu,141,178,459,555
Henry Sims,24,30,74,97
Henry Walker,1,2,4,4
Hilton Armstrong,41,73,53,83
Hollis Thompson,13,21,47,58
Ian Clark,5,5,18,22
Ian Mahinmi,102,180,166,279
Ike Diogu,22,29,87,103
Iman Shumpert,39,48,98,127
Ime Udoka,23,33,60,83
Ira Newble,1,2,9,13
Isaiah Canaan,14,16,56,65
Isaiah Thomas,107,122,543,618
Ish Smith,26,39,48,78
Ishmael Smith,7,8,5,7
Ivan Johnson,20,34,49,71
Ivan McFarlin,1,1,1,2
J.J. Barea,26,34,99,117
J.J. Hickson,171,264,272,419
J.J. Redick,57,64,420,460
J.R. Giddens,3,5,4,6
J.R. Smith,187,247,410,522
JJ Hickson,9,18,4,9
JaKarr Sampson,24,35,45,67
JaMychal Green,16,21,39,48
JaVale McGee,121,193,131,228
Jabari Brown,6,7,17,29
Jabari Parker,28,35,78,98
Jack Cooley,1,5,2,5
Jacque Vaughn,11,16,46,65
Jae Crowder,38,57,135,162
Jahlil Okafor,17,23,40,58
Jake Tsakalidis,3,7,11,11
Jake Voskuhl,17,20,34,51
Jalen Rose,1,1,5,5
Jamaal Franklin,1,1,1,1
Jamaal Magloire,54,110,51,98
Jamaal Tinsley,39,53,100,131
Jamal Crawford,132,151,807,902
Jamal Sampson,3,5,1,2
Jamario Moon,20,25,64,73
Jameer Nelson,90,104,345,394
James Anderson,25,31,55,67
James Augustine,0,1,1,2
James Ennis,11,13,36,45
James Harden,242,285,1371,1574
James Johnson,63,90,127,164
James Jones,22,26,94,108
James Michael,9,14,7,21
James Nunnally,3,3,1,1
James Posey,43,49,153,173
James Singleton,10,14,62,70
James White,4,6,7,9
James Young,3,5,2,9
Jan Vesely,18,43,11,24
Jannero Pargo,10,15,94,103
Jared Cunningham,16,19,17,23
Jared Dudley,117,159,270,336
Jared Jeffries,64,103,72,119
Jared Reiner,1,3,0,1
Jared Sullinger,52,75,136,176
Jarell Martin,8,10,12,20
Jarnell Stokes,4,5,3,9
Jarrett Jack,118,132,639,726
Jarron Collins,21,36,41,68
Jarvis Hayes,19,22,51,65
Jarvis Varnado,8,13,6,13
