player,missed_1st_made_2nd,missed_first,made_1st_made_2nd,made_first
Rudy Fernandez,22,29,115,131
Rudy Gay,243,310,857,1049
Rudy Gobert,80,129,93,158
Russ Smith,2,4,8,8
Russell Westbrook,321,389,1373,1632
Ryan Anderson,67,75,350,396
Ryan Bowen,7,8,6,9
Ryan Gomes,77,89,236,280
Ryan Hollins,94,143,161,244
Ryan Kelly,19,25,65,81
Salah Mejri,8,14,9,14
Salim Stoudamire,4,4,29,35
Sam Cassell,23,27,114,119
Sam Young,42,54,91,116
Samardo Samuels,36,50,46,63
Samuel Dalembert,122,172,317,403
Sarunas Jasikevicius,7,7,26,28
Sasha Kaun,2,3,1,1
Sasha Pavlovic,38,62,65,87
Sasha Vujacic,22,25,106,126
Scot Pollard,4,4,3,8
Scott Padgett,1,4,2,2
Sean Kilpatrick,3,3,25,28
Sean Marks,13,14,13,24
Sean May,18,22,38,49
Sean Singletary,1,2,8,8
Sean Williams,26,36,32,50
Sebastian Telfair,61,70,162,201
Semih Erden,10,19,20,27
Serge Ibaka,98,129,299,396
Sergey Karasev,7,8,24,27
Sergio Rodriguez,25,31,60,74
Seth Curry,1,2,12,16
Shabazz Muhammad,52,64,100,121
Shabazz Napier,9,13,27,30
Shammond Williams,1,1,1,2
Shane Battier,68,80,160,203
Shane Larkin,20,22,57,67
Shannon Brown,35,48,162,191
Shaquille O'Neal,217,380,191,335
Shareef Abdur-Rahim,24,28,53,77
Shaun Livingston,80,92,274,323
Shavlik Randolph,7,17,10,18
Shawn Marion,119,146,335,409
Shawne Williams,21,28,64,87
Shayne Whittington,0,1,7,11
Shelden Williams,61,81,159,195
Shelvin Mack,32,36,64,77
Slava Kravtsov,2,2,0,2
Slava Medvedenko,2,2,6,7
Smush Parker,21,32,40,56
Solomon Alabi,1,2,3,3
Solomon Hill,14,17,87,105
Solomon Jones,35,47,80,106
Sonny Weems,9,21,43,58
Speedy Claxton,8,13,7,14
Spencer Dinwiddie,8,10,15,19
Spencer Hawes,90,130,211,282
Stanley Johnson,7,8,31,35
Stephane Lasme,8,9,5,6
Stephen Curry,85,98,625,674
Stephen Graham,16,22,48,62
Stephen Jackson,157,193,561,666
Stephon Marbury,44,60,131,165
Steve Blake,32,44,111,136
Steve Francis,13,17,67,78
Steve Nash,50,51,473,514
Steve Novak,2,3,21,23
Steven Adams,75,125,85,153
Steven Hunter,25,50,28,39
Stromile Swift,25,35,55,88
Sundiata Gaines,22,38,22,38
T.J. Ford,60,72,281,334
T.J. McConnell,7,9,7,10
T.J. Warren,9,11,12,21
Taj Gibson,132,186,286,408
Tarance Kinsey,0,1,3,4
Tarence Kinsey,11,13,42,48
Tarik Black,23,42,21,34
Taylor Griffin,0,1,1,1
Tayshaun Prince,121,163,377,488
Terrel Harris,3,4,8,13
Terrence Jones,44,80,90,133
Terrence Ross,29,34,69,82
Terrence Williams,25,37,44,64
Terry Rozier,1,1,3,3
Thabo Sefolosha,75,99,184,249
Thaddeus Young,157,234,362,486
Theo Ratliff,20,27,31,44
Thomas Gardner,1,2,0,1
Thomas Robinson,41,90,55,101
Tiago Splitter,109,162,234,335
Tim Duncan,448,614,924,1217
Tim Frazier,12,19,18,22
Tim Hardaway,16,19,86,107
Tim Thomas,36,53,101,126
Timofey Mozgov,79,103,194,257
Tobias Harris,72,84,257,315
Toney Douglas,29,35,122,140
Tony Allen,155,221,388,514
Tony Battie,16,26,40,62
Tony Mitchell,1,3,4,6
Tony Parker,302,384,909,1119
Tony Snell,4,5,38,51
Tony Wroten,61,90,103,164
Tornike Shengelia,2,3,3,7
Toure' Murry,5,6,5,13
Tracy McGrady,123,177,302,398
Travis Diener,5,6,29,36
Travis Outlaw,107,137,284,361
Travis Wear,4,4,5,6
Trenton Hassell,21,27,52,62
Trevor Ariza,140,214,385,503
Trevor Booker,64,101,105,168
Trey Burke,21,27,90,109
Trey Johnson,2,2,8,8
Trey Lyles,10,12,18,23
Trey Thompkins,2,2,1,1
Tristan Thompson,136,231,268,436
Troy Daniels,1,2,6,8
Troy Hudson,3,3,11,13
Troy Murphy,78,89,217,265
Ty Lawson,144,190,484,623
Tyler Ennis,6,6,9,12
Tyler Hansbrough,110,163,364,476
Tyler Honeycutt,1,1,2,2
Tyler Johnson,12,13,28,41
Tyler Zeller,57,68,155,192
Tyreke Evans,167,227,505,638
Tyronn Lue,11,14,65,74
Tyrus Thomas,114,150,273,363
Tyshawn Taylor,10,11,12,17
Tyson Chandler,255,383,479,681
Tyus Jones,4,5,4,8
Udonis Haslem,116,146,268,341
Uros Slokar,2,2,2,4
Vander Blue,1,3,0,1
Vassilis Spanoulis,4,4,14,17
Vernon Macklin,1,2,2,5
Viacheslav Kravtsov,3,11,2,6
Victor Claver,5,10,6,10
Victor Oladipo,67,82,254,309
Viktor Khryapa,4,6,9,14
Vince Carter,209,250,773,923
Vitor Faverani,3,5,7,13
Vladimir Radmanovic,29,34,74,96
Von Wafer,25,28,59,74
Walker Russell,2,3,4,4
Wally Szczerbiak,23,28,142,154
Walter Herrmann,6,8,28,37
Walter Tavares,1,2,0,2
Wayne Ellington,21,25,110,132
Wayne Simien,2,2,1,1
Wes Matthews,3,4,7,9
Wesley Johnson,33,44,87,111
Wesley Matthews,91,115,457,531
Will Barton,33,38,124,155
Will Bynum,58,70,213,250
Will Cherry,1,2,1,1
Will Solomon,6,6,7,10
Willie Cauley-Stein,18,24,23,33
Willie Green,68,87,185,230
Willie Reed,6,13,8,12
Willie Warren,0,1,3,3
Wilson Chandler,95,109,257,324
Xavier Henry,44,71,83,120
Xavier Munford,2,3,1,3
Yakhouba Diawara,10,17,21,30
Yao Ming,80,90,439,491
Yaroslav Korolev,0,1,0,1
Yi Jianlian,55,65,160,201
Zach LaVine,26,29,109,133
Zach Randolph,280,370,886,1115
Zaza Pachulia,182,241,534,696
Zoran Dragic,1,1,0,1
Zydrunas Ilgauskas,78,94,246,304
